date,time,application
2022-07-14,02:32:49,CURSORY
2022-07-14,02:32:50,CURSORY
2022-07-14,02:32:51,Program Manager
2022-07-14,02:32:52,Program Manager
2022-07-14,02:32:53,Program Manager
2022-07-14,02:32:54,Program Manager
2022-07-14,02:32:55,EMP1 - Notepad
2022-07-14,02:32:56,EMP1 - Notepad
2022-07-14,02:32:57,EMP1 - Notepad
2022-07-14,02:32:58,EMP1 - Notepad
2022-07-14,02:32:59,EMP1 - Notepad
2022-07-14,02:33:00,EMP1 - Notepad
2022-07-14,02:33:01,File Explorer
2022-07-14,02:33:02,File Explorer
2022-07-14,02:33:03,File Explorer
2022-07-14,02:33:04,File Explorer
2022-07-14,02:33:05,File Explorer
2022-07-14,02:33:06,Google Drive (G:)
2022-07-14,02:33:07,My Drive
2022-07-14,02:33:08,Data
2022-07-14,02:33:09,Data
2022-07-14,02:33:10,Data
2022-07-14,02:33:11,Data
2022-07-14,02:33:12,Data
2022-07-14,02:33:13,Data
2022-07-14,02:33:14,Data
2022-07-14,02:33:15,Data
2022-07-14,02:33:16,Data
2022-07-14,02:33:17,Data
2022-07-14,02:33:18,Data
2022-07-14,02:33:19,Data
2022-07-14,02:33:20,Data
2022-07-14,02:33:21,Data
2022-07-14,02:36:21,CURSORY
2022-07-14,02:36:22,CURSORY
2022-07-14,02:36:23,CURSORY
2022-07-14,02:36:24,Program Manager
2022-07-14,02:36:25,Program Manager
2022-07-14,02:36:26,Program Manager
2022-07-14,02:36:27,Search
2022-07-14,02:36:28,Search
2022-07-14,02:36:29,Search
2022-07-14,02:36:30,Search
2022-07-14,02:36:31,Search
2022-07-14,02:36:32,Task Manager
2022-07-14,02:36:33,Task Manager
2022-07-14,02:36:34,Task Manager
2022-07-14,02:36:35,Task Manager
2022-07-14,02:36:36,Task Manager
2022-07-14,02:36:37,Task Manager
2022-07-14,02:36:38,Task Manager
2022-07-14,02:36:39,Task Manager
2022-07-14,02:36:40,Task Manager
2022-07-14,02:36:41,Task Manager
2022-07-14,02:36:42,Program Manager
2022-07-14,02:36:43,Program Manager
2022-07-14,02:36:44,Search
2022-07-14,02:36:45,Search
2022-07-14,02:36:46,Search
2022-07-14,02:36:47,Search
2022-07-14,02:36:48,Program Manager
2022-07-14,02:36:49,Program Manager
2022-07-14,02:36:50,File Explorer
2022-07-14,02:36:51,File Explorer
2022-07-14,02:36:52,Google Drive (G:)
2022-07-14,02:36:53,Google Drive (G:)
2022-07-14,02:36:54,Google Drive (G:)
2022-07-14,02:36:55,My Drive
2022-07-14,02:36:56,Data
2022-07-14,02:36:57,Data
2022-07-14,02:36:58,Program Manager
2022-07-14,02:36:59,Search
2022-07-14,02:37:00,Search
2022-07-14,02:37:01,Search
2022-07-14,02:37:02,Search
2022-07-14,02:37:03,Search
2022-07-14,02:37:04,Search
2022-07-14,02:37:05,Start
2022-07-14,02:37:06,Start
2022-07-14,02:41:08,CURSORY
2022-07-14,02:41:09,CURSORY
2022-07-14,02:41:10,CURSORY
2022-07-14,02:41:11,Program Manager
2022-07-14,02:41:12,Program Manager
2022-07-14,02:41:13,Program Manager
2022-07-14,02:41:14,Program Manager
2022-07-14,02:41:15,Program Manager
2022-07-14,02:41:16,Program Manager
2022-07-14,02:41:17,Program Manager
2022-07-14,02:41:18,Program Manager
2022-07-14,02:41:19,Program Manager
2022-07-14,02:41:20,Program Manager
2022-07-14,02:41:21,Program Manager
2022-07-14,02:48:19,CURSORY
2022-07-14,02:48:20,CURSORY
2022-07-14,02:48:21,Cursory_App_V1
2022-07-14,02:48:22,Cursory_App_V1
2022-07-14,02:48:23,Cursory_App_V1
2022-07-14,02:48:24,Cursory_App_V1
2022-07-14,02:48:25,Cursory_App_V1
2022-07-14,02:48:26,Cursory_App_V1
2022-07-14,02:48:27,Cursory_App_V1
2022-07-14,02:48:28,Cursory_App_V1
2022-07-14,02:48:29,Cursory_App_V1
2022-07-14,02:48:30,Cursory_App_V1
2022-07-14,02:48:31,Cursory_App_V1
2022-07-14,02:48:32,Cursory_App_V1
