date,time,application
2022-07-14,12:06:47,CURSORY
2022-07-14,12:06:48,CURSORY_APP (Running) - Microsoft Visual Studio
2022-07-14,12:06:49,CURSORY_APP (Running) - Microsoft Visual Studio
2022-07-14,12:06:50,CURSORY_APP (Running) - Microsoft Visual Studio
2022-07-14,12:06:51,CURSORY_APP (Running) - Microsoft Visual Studio
2022-07-14,12:06:52,Program Manager
2022-07-14,12:06:53,Program Manager
2022-07-14,12:06:54,C1 - Word
2022-07-14,12:06:55,C1 - Word
2022-07-14,12:06:56,C1 - Word
2022-07-14,12:06:57,C1 - Word
2022-07-14,12:06:58,C1 - Word
2022-07-14,12:06:59,C1 - Word
2022-07-14,12:07:00,C1 - Word
2022-07-14,12:07:01,C1 - Word
2022-07-14,12:07:02,C1 - Word
2022-07-14,12:07:03,C1 - Word
2022-07-14,12:07:04,C1 - Word
2022-07-14,12:07:05,C1 - Word
2022-07-14,12:07:06,C2  -  Compatibility Mode - Word
2022-07-14,12:07:07,C2  -  Compatibility Mode - Word
2022-07-14,12:07:08,C2  -  Compatibility Mode - Word
2022-07-14,12:07:09,C2  -  Compatibility Mode - Word
2022-07-14,12:07:10,C2  -  Compatibility Mode - Word
2022-07-14,12:07:11,C2  -  Compatibility Mode - Word
2022-07-14,12:07:12,C2  -  Compatibility Mode - Word
2022-07-14,12:07:13,C2  -  Compatibility Mode - Word
2022-07-14,12:07:14,C1 - Word
2022-07-14,12:07:15,C1 - Word
2022-07-14,12:07:16,C1 - Word
2022-07-14,12:07:17,C1 - Word
2022-07-14,12:07:18,Snapdrop - Google Chrome
2022-07-14,12:07:19,Snapdrop - Google Chrome
2022-07-14,12:07:20,Snapdrop - Google Chrome
2022-07-14,12:07:21,Snapdrop - Google Chrome
2022-07-14,12:07:22,Snapdrop - Google Chrome
2022-07-14,12:07:23,Snapdrop - Google Chrome
2022-07-14,12:07:24,CURSORY_APP (Running) - Microsoft Visual Studio
