date,time,application
2022-07-06,01:04:29,Google-chrome
2022-07-06,01:04:30,Google-chrome
2022-07-06,01:04:31,Google-chrome
2022-07-06,01:04:32,Google-chrome
2022-07-06,01:04:33,Google-chrome
2022-07-06,01:04:34,Google-chrome
2022-07-06,01:04:35,Google-chrome
2022-07-06,01:04:36,webEx
2022-07-06,01:04:37,webEx
2022-07-06,01:04:38,webEx
2022-07-06,01:04:39,webEx
2022-07-06,01:04:40,webEx
2022-07-06,01:04:41,Google-chrome
2022-07-06,01:04:42,Google-chrome
2022-07-06,01:04:43,Google-chrome
2022-07-06,01:04:44,Google-chrome
2022-07-06,01:04:45,MS-teams
2022-07-06,01:04:46,MS-teams
2022-07-06,01:04:47,MS-teams
2022-07-06,01:04:48,MS-teams
2022-07-06,01:04:49,MS-teams
2022-07-06,01:04:50,MS-teams
2022-07-06,01:04:51,MS-teams
2022-07-06,01:04:52,Google-chrome
2022-07-06,01:04:53,Google-chrome
2022-07-06,01:04:54,Google-chrome
2022-07-06,01:04:55,Google-chrome
2022-07-06,01:04:56,MS-Office
2022-07-06,01:04:57,MS-Office
2022-07-06,01:04:58,MS-Office
2022-07-06,01:04:59,MS-Office
2022-07-06,01:05:00,MS-Office
2022-07-06,01:05:01,MS-Office
2022-07-06,01:05:02,MS-Office
2022-07-06,01:05:03,Google-chrome
2022-07-06,01:05:04,Google-chrome
2022-07-06,01:05:05,Google-chrome
2022-07-06,01:05:06,Google-chrome
2022-07-06,01:05:07,Google-chrome
2022-07-06,01:05:08,Google-chrome
2022-07-06,01:05:09,Google-chrome
2022-07-06,01:05:10,Google-chrome
2022-07-06,01:05:11,Google-chrome
2022-07-06,01:05:12,Google-chrome
2022-07-06,01:05:13,Google-chrome
2022-07-06,01:05:14,Google-chrome
2022-07-06,01:05:15,Google-chrome
2022-07-06,01:05:16,Google-chrome
2022-07-06,01:05:17,Google-chrome
2022-07-06,01:05:18,MS-teams
2022-07-06,01:05:19,MS-teams
2022-07-06,01:05:20,MS-teams
2022-07-06,01:05:21,MS-teams
2022-07-06,01:05:22,Google-chrome
2022-07-06,01:05:23,Google-chrome
2022-07-06,01:05:24,Google-chrome
2022-07-06,01:05:25,Google-chrome
2022-07-06,01:05:26,Google-chrome
2022-07-06,01:05:27,Google-chrome
2022-07-06,01:05:28,Google-chrome
2022-07-06,01:05:29,Google-chrome
2022-07-06,01:05:30,webEx
2022-07-06,01:05:31,webEx
2022-07-06,01:05:32,webEx
2022-07-06,01:05:33,webEx
2022-07-06,01:05:34,webEx
2022-07-06,01:05:35,webEx
2022-07-06,01:05:36,webEx
2022-07-06,01:05:37,webEx
2022-07-06,01:05:38,webEx
2022-07-06,01:05:39,webEx
2022-07-06,01:05:40,webEx
2022-07-06,01:05:41,Google-chrome
2022-07-06,01:05:42,Google-chrome
2022-07-06,01:05:43,Google-chrome
2022-07-06,01:05:44,Google-chrome
2022-07-06,01:05:45,Google-chrome
2022-07-06,01:05:46,C2-Google-chrome
2022-07-06,01:05:47,Google-chrome
2022-07-06,01:05:48,Google-chrome
2022-07-06,01:05:49,Google-chrome
2022-07-06,01:05:50,Google-chrome
2022-07-06,01:05:51,Google-chrome
2022-07-06,01:05:52,Google-chrome
2022-07-06,01:05:53,C2-Google-chrome
2022-07-06,01:05:54,C2-Google-chrome
2022-07-06,01:05:55,C2-Google-chrome
2022-07-06,01:05:56,Google-chrome
2022-07-06,01:05:57,Terminal
2022-07-06,01:05:58,Terminal
2022-07-06,01:05:59,Terminal
2022-07-06,01:06:00,Terminal
2022-07-06,01:06:01,Terminal
2022-07-06,01:06:02,Terminal
2022-07-06,01:06:03,Terminal
2022-07-06,01:06:04,Terminal
2022-07-06,01:06:05,Terminal
2022-07-06,01:06:06,Terminal
2022-07-06,01:06:07,Terminal
2022-07-06,01:06:08,Terminal
2022-07-06,01:06:09,Terminal
2022-07-06,01:06:10,Terminal
2022-07-06,01:06:11,Terminal
2022-07-06,01:06:12,Terminal
2022-07-06,01:06:13,Terminal
2022-07-06,01:06:14,Google-chrome
2022-07-06,01:06:15,Google-chrome
2022-07-06,01:06:16,Google-chrome
2022-07-06,01:06:17,Visual Studio
2022-07-06,01:06:18,Visual Studio
2022-07-06,01:06:19,Visual Studio
2022-07-06,01:06:20,Visual Studio
2022-07-06,01:06:21,Visual Studio
2022-07-06,01:06:22,Visual Studio
2022-07-06,01:06:23,Visual Studio
2022-07-06,01:06:24,Visual Studio
2022-07-06,01:06:25,Google-chrome
2022-07-06,01:06:26,Google-chrome
2022-07-06,01:06:27,Google-chrome
2022-07-06,01:06:28,C1-Google-chrome
2022-07-06,01:06:29,Google-chrome
2022-07-06,01:06:30,Google-chrome
2022-07-06,01:06:31,Google-chrome
2022-07-06,01:06:32,Google-chrome
2022-07-06,01:06:33,Google-chrome
2022-07-06,01:06:34,Visual Studio
2022-07-06,01:06:35,Visual Studio
2022-07-06,01:06:36,Visual Studio
2022-07-06,01:06:37,Visual Studio
2022-07-06,01:06:38,Visual Studio
2022-07-06,01:06:39,C2-Google-chrome
2022-07-06,01:06:40,Google-chrome
2022-07-06,01:06:41,Google-chrome
2022-07-06,01:06:42,Google-chrome
2022-07-06,01:06:43,Google-chrome
2022-07-06,01:06:44,Google-chrome
2022-07-06,01:06:45,Google-chrome
2022-07-06,01:06:46,MS-Office
2022-07-06,01:06:47,MS-Office
2022-07-06,01:06:48,MS-Office
2022-07-06,01:06:49,MS-Office
2022-07-06,01:06:50,MS-Office
2022-07-06,01:06:51,MS-Office
2022-07-06,01:06:52,MS-Office
2022-07-06,01:06:53,MS-Office
2022-07-06,01:06:54,MS-Office
2022-07-06,01:06:55,MS-Office
2022-07-06,01:06:56,MS-Office
2022-07-06,01:06:57,MS-Office
2022-07-06,01:06:58,C2-MS-teams
2022-07-06,01:06:59,MS-teams
2022-07-06,01:07:00,MS-teams
2022-07-06,01:07:01,C2-MS-teams
2022-07-06,01:07:02,MS-teams
2022-07-06,01:07:03,MS-teams
2022-07-06,01:07:04,MS-teams
2022-07-06,01:07:05,MS-teams
2022-07-06,01:07:06,MS-teams
2022-07-06,01:07:07,MS-teams
2022-07-06,01:07:08,MS-teams
2022-07-06,01:07:09,MS-teams
2022-07-06,01:07:10,MS-teams
2022-07-06,01:07:11,MS-teams
2022-07-06,01:07:12,MS-teams
2022-07-06,01:07:13,MS-teams
2022-07-06,01:07:14,MS-teams
2022-07-06,01:07:15,MS-teams
2022-07-06,01:07:16,MS-teams
2022-07-06,01:07:17,MS-teams
2022-07-06,01:07:18,MS-teams
2022-07-06,01:07:19,MS-teams
2022-07-06,01:07:20,MS-teams
2022-07-06,01:07:21,MS-teams
2022-07-06,01:07:22,MS-teams
2022-07-06,01:07:23,MS-teams
2022-07-06,01:07:24,MS-teams
2022-07-06,01:07:25,MS-teams
2022-07-06,01:07:26,MS-teams
2022-07-06,01:07:27,MS-teams
2022-07-06,01:07:28,MS-teams
2022-07-06,01:07:29,MS-teams
2022-07-06,01:07:30,MS-teams
2022-07-06,01:07:31,MS-teams
2022-07-06,01:07:32,MS-teams
2022-07-06,01:07:33,MS-teams
2022-07-06,01:07:34,MS-teams
2022-07-06,01:07:35,MS-teams
2022-07-06,01:07:36,MS-teams
2022-07-06,01:07:37,MS-teams
2022-07-06,01:07:38,MS-teams
2022-07-06,01:07:39,MS-teams
2022-07-06,01:07:40,MS-teams
2022-07-06,01:07:41,MS-teams
2022-07-06,01:07:42,MS-teams
2022-07-06,01:07:43,MS-teams
2022-07-06,01:07:44,MS-teams
2022-07-06,01:07:45,MS-teams
2022-07-06,01:07:46,MS-teams
2022-07-06,01:07:47,MS-teams
2022-07-06,01:07:48,MS-teams
2022-07-06,01:07:49,MS-teams
2022-07-06,01:07:50,MS-teams
2022-07-06,01:07:51,MS-teams
2022-07-06,01:07:52,MS-teams
2022-07-06,01:07:53,MS-teams
2022-07-06,01:07:54,MS-teams
2022-07-06,01:07:55,MS-teams
2022-07-06,01:07:56,MS-teams
2022-07-06,01:07:57,MS-teams
2022-07-06,01:07:58,MS-teams
2022-07-06,01:07:59,MS-teams
2022-07-06,01:08:00,MS-teams
2022-07-06,01:08:01,MS-teams
2022-07-06,01:08:02,MS-teams
2022-07-06,01:08:03,MS-teams
2022-07-06,01:08:04,MS-teams
2022-07-06,01:08:05,MS-teams
2022-07-06,01:08:06,MS-teams
2022-07-06,01:08:07,MS-teams
2022-07-06,01:08:08,MS-teams
2022-07-06,01:08:09,MS-teams
2022-07-06,01:08:10,Google-chrome
2022-07-06,01:08:11,Google-chrome
2022-07-06,01:08:12,Google-chrome
2022-07-06,01:08:13,Google-chrome
2022-07-06,01:08:14,Google-chrome
2022-07-06,01:08:15,Google-chrome
2022-07-06,01:08:16,Google-chrome
2022-07-06,01:08:17,Terminal
2022-07-06,01:08:18,Terminal
2022-07-06,01:08:19,Terminal
2022-07-06,01:08:20,Terminal
2022-07-06,01:08:21,Terminal
2022-07-06,01:08:22,Terminal
2022-07-06,01:08:23,Terminal
2022-07-06,01:08:24,Terminal
2022-07-06,01:08:25,Terminal
2022-07-06,01:08:26,Terminal
2022-07-06,01:08:27,Terminal
2022-07-06,01:08:28,Terminal
2022-07-06,01:08:29,Visual Studio
2022-07-06,01:08:30,Visual Studio
2022-07-06,01:08:31,Visual Studio
2022-07-06,01:08:32,Visual Studio
2022-07-06,01:08:33,Visual Studio
2022-07-06,01:08:34,Visual Studio
2022-07-06,01:08:35,Visual Studio
2022-07-06,01:08:36,Visual Studio
2022-07-06,01:08:37,Visual Studio
2022-07-06,01:08:38,Visual Studio
2022-07-06,01:08:39,Visual Studio
2022-07-06,01:08:40,Visual Studio
2022-07-06,01:08:41,Visual Studio
2022-07-06,01:08:42,Visual Studio
2022-07-06,01:08:43,Visual Studio
2022-07-06,01:08:44,Visual Studio
2022-07-06,01:08:45,Visual Studio
2022-07-06,01:08:46,Visual Studio
2022-07-06,01:08:47,Visual Studio
2022-07-06,01:08:48,Visual Studio
2022-07-06,01:08:49,Visual Studio
2022-07-06,01:08:50,Visual Studio
2022-07-06,01:08:51,Visual Studio
2022-07-06,01:08:52,Visual Studio
2022-07-06,01:08:53,Visual Studio
2022-07-06,01:08:54,Visual Studio
2022-07-06,01:08:55,Visual Studio
2022-07-06,01:08:56,Visual Studio
2022-07-06,01:08:57,Visual Studio
2022-07-06,01:08:58,Visual Studio
2022-07-06,01:08:59,Visual Studio
