date,time,app
2022-07-11,08:16:59,CURSORY
2022-07-11,08:17:00,CURSORY
2022-07-11,08:17:01,CURSORY
2022-07-11,08:17:02,Cursory_App_V1
2022-07-11,08:17:03,Cursory_App_V1
2022-07-11,08:17:04,Cursory_App_V1
2022-07-11,08:17:05,Cursory_App_V1
2022-07-11,08:17:06,Cursory_App_V1
2022-07-11,08:17:07,Cursory_App_V1
2022-07-11,08:17:08,Cursory_App_V1
2022-07-11,08:17:09,Cursory_App_V1
2022-07-11,08:17:10,Cursory_App_V1
2022-07-11,08:17:11,Cursory_App_V1
2022-07-11,08:17:12,Cursory_App_V1
2022-07-11,08:17:13,Cursory_App_V1
2022-07-11,08:17:14,Cursory_App_V1
2022-07-11,08:17:15,Downloads
2022-07-11,08:17:16,Downloads
2022-07-11,08:17:17,Downloads
2022-07-11,08:17:18,Wormhole - Simple, private file sharing and 1 more page - Profile 1 - Microsoft? Edge
2022-07-11,08:17:19,Wormhole - Simple, private file sharing and 1 more page - Profile 1 - Microsoft? Edge
2022-07-11,08:17:20,Wormhole - Simple, private file sharing and 1 more page - Profile 1 - Microsoft? Edge
2022-07-11,08:17:21,Search
2022-07-11,08:17:22,Search
2022-07-11,08:17:23,Search
2022-07-11,08:17:24,Search
2022-07-11,08:17:25,Search
2022-07-11,08:17:26,Search
2022-07-11,08:17:27,Search
2022-07-11,08:17:28,Search
2022-07-11,08:17:29,Wormhole - Simple, private file sharing and 1 more page - Profile 1 - Microsoft? Edge
2022-07-11,08:17:30,Wormhole - Simple, private file sharing and 1 more page - Profile 1 - Microsoft? Edge
2022-07-11,08:17:31,Wormhole - Simple, private file sharing and 1 more page - Profile 1 - Microsoft? Edge
2022-07-11,08:17:32,wormhole.app - Search - Profile 1 - Microsoft? Edge
2022-07-11,08:17:33,wormhole.app - Search - Profile 1 - Microsoft? Edge
2022-07-11,08:17:34,Downloads
2022-07-11,08:17:35,Program Manager
2022-07-11,08:17:36,Program Manager
2022-07-11,08:17:37,Program Manager
2022-07-11,08:17:38,Program Manager
2022-07-11,08:17:39,Program Manager
2022-07-11,08:17:41,Program Manager
2022-07-11,08:17:42,Program Manager
2022-07-11,08:17:43,Program Manager
2022-07-11,08:17:44,Program Manager
2022-07-11,08:17:45,Program Manager
2022-07-11,08:17:46,Program Manager
2022-07-11,08:17:47,Program Manager
2022-07-11,08:17:48,C1 - Notepad
2022-07-11,08:17:49,C1 - Notepad
2022-07-11,08:17:50,C1 - Notepad
2022-07-11,08:17:51,C1 - Notepad
2022-07-11,08:17:52,Downloads
2022-07-11,08:17:53,Program Manager
2022-07-11,08:17:54,Program Manager
2022-07-11,08:17:55,Program Manager
2022-07-11,08:17:56,Program Manager
2022-07-11,08:17:57,Program Manager
2022-07-11,08:17:58,Program Manager
2022-07-11,08:17:59,Program Manager
2022-07-11,08:18:00,Program Manager
2022-07-11,08:18:01,Program Manager
2022-07-11,08:18:02,Program Manager
2022-07-11,08:18:03,C1 - WordPad
2022-07-11,08:18:04,C1 - WordPad
2022-07-11,08:18:05,C1 - WordPad
2022-07-11,08:18:06,Downloads
2022-07-11,08:18:07,Program Manager
2022-07-11,08:18:08,Program Manager
2022-07-11,08:18:09,Program Manager
2022-07-11,08:18:10,Program Manager
2022-07-11,08:18:11,Program Manager
